单词      复数    现在时            过去时
take	 ""	 "taking"	 "took"
went	 ""	 ""	 ""

down	 "downs"	 "downing"	 "downed"

carry	 ""	 "carrying"	 "carried"

coiled	 ""	 ""	 ""

lines	 ""	 ""	 ""

gaff	 "gaffs"	 ""	 ""

harpoon	 "harpoons"	 "harpooning"	 "harpooned"

sail	 "sails"	 "sailing"	 "sailed"

furled	 ""	 ""	 ""

around	 ""	 ""	 ""

mast	 "masts"	 "masting"	 "masted"

patched	 ""	 ""	 ""

flour	 ""	 "flouring"	 "floured"

sacks	 ""	 ""	 ""

looked	 ""	 ""	 ""

like	 "likes"	 "liking"	 "liked"

flag	 "flags"	 "flagging"	 "flagged"

permanent	 "permanents"	 ""	 ""

defeat	 "defeats"	 "defeating"	 "defeated"

note	 "notes"	 "noting"	 "noted"

skill	 "skills"	 ""	 ""

introduction	 "introductions"	 ""	 ""

should	 ""	 ""	 ""

noted	 ""	 ""	 ""

both	 ""	 ""	 ""

time	 "times"	 "timing"	 "timed"

timeless	 ""	 ""	 ""

numbers	 ""	 ""	 ""

mentioned	 ""	 ""	 ""

significant	 ""	 ""	 ""

thin	 ""	 "thinning"	 "thinned"

gaunt	 ""	 ""	 ""

deep	 ""	 ""	 ""

wrinkles	 ""	 ""	 ""

back	 "backs"	 "backing"	 "backed"

neck	 "necks"	 "necking"	 "necked"

brown	 "browns"	 "browning"	 "browned"

blotches	 ""	 ""	 ""

benevolent	 ""	 ""	 ""

skin	 "skins"	 "skinning"	 "skinned"

cancer	 "cancers"	 ""	 ""

sun	 "suns"	 "sunning"	 "sunned"

brings	 ""	 ""	 ""

from	 ""	 ""	 ""

its	 ""	 ""	 ""

reflection	 "reflections"	 ""	 ""

tropic	 "tropics"	 ""	 ""

were	 ""	 ""	 ""

cheeks	 ""	 ""	 ""

ran	 null	 null	 null

well	 "wells"	 "welling"	 "welled"

sides	 ""	 ""	 ""

face	 "faces"	 "facing"	 "faced"

hands	 ""	 ""	 ""

scars	 ""	 ""	 ""

handling	 ""	 ""	 ""

heavy	 "heavies"	 ""	 ""

cords	 ""	 ""	 ""

none	 ""	 ""	 ""

these	 ""	 ""	 ""

fresh	 ""	 ""	 ""

they	 ""	 ""	 ""

as	 ""	 ""	 ""

erosions	 ""	 ""	 ""

desert	 "deserts"	 "deserting"	 "deserted"

everything	 ""	 ""	 ""

except	 ""	 "excepting"	 "excepted"

eyes	 ""	 ""	 ""

same	 ""	 ""	 ""

color	 "colors"	 "coloring"	 "colored"

cheerful	 ""	 ""	 ""

undefeated	 ""	 ""	 ""

Santiago	 null	 null	 null

said	 null	 null	 null

climbed	 ""	 ""	 ""

bank	 "banks"	 "banking"	 "banked"

hauled	 ""	 ""	 ""

up	 ""	 "upping"	 "upped"

i	 ""	 ""	 ""

could	 ""	 ""	 ""

go	 "goes"	 "going"	 "went"

again	 ""	 ""	 ""

we've	 ""	 ""	 ""

some	 ""	 ""	 ""

money	 "monies"	 ""	 ""

taught	 null	 null	 null

loved	 ""	 ""	 ""

no	 "noes"	 ""	 ""

you're	 ""	 ""	 ""

lucky	 ""	 ""	 ""

stay	 "stays"	 "staying"	 "stayed"

them	 ""	 ""	 ""

remember	 ""	 "remembering"	 "remembered"

how	 "hows"	 ""	 ""

then	 ""	 ""	 ""

we	 ""	 ""	 ""

big	 ""	 ""	 ""

ones	 ""	 ""	 ""

weeks	 ""	 ""	 ""

know	 ""	 "knowing"	 "knew"

did	 ""	 ""	 ""

leave	 ""	 "leaving"	 "left"

me	 ""	 ""	 ""

because	 ""	 ""	 ""

doubted	 ""	 ""	 ""

papa	 "papas"	 ""	 ""

am	 null	 null	 null

must	 "musts"	 "musting"	 "must"

obey	 ""	 "obeying"	 "obeyed"

quite	 ""	 ""	 ""

normal	 "normals"	 ""	 ""

hasn't	 ""	 ""	 ""

much	 ""	 ""	 ""

faith	 "faiths"	 ""	 ""

haven't	 ""	 ""	 ""

yes	 "yeses"	 ""	 ""

offer	 "offers"	 "offering"	 "offered"

beer	 "beers"	 ""	 ""

terrace	 "terraces"	 "terracing"	 "terraced"

we'll	 ""	 ""	 ""

stuff	 ""	 "stuffing"	 "stuffed"

home	 "homes"	 "homing"	 "homed"

why	 "whys"	 ""	 ""

between	 ""	 ""	 ""

fishermen	 ""	 ""	 ""

sat	 ""	 ""	 ""

many	 ""	 ""	 ""

fun	 ""	 "funning"	 "funned"

angry	 ""	 ""	 ""

others	 ""	 ""	 ""

older	 ""	 ""	 ""

show	 " showed"	 ""	 ""

spoke	 "spokes"	 null	 null

politely	 ""	 ""	 ""

current	 "currents"	 ""	 ""

depths	 ""	 ""	 ""

drifted	 ""	 ""	 ""

steady	 ""	 "steadying"	 "steadied"

weather	 ""	 "weathering"	 "weathered"

what	 ""	 ""	 ""

seen	 null	 null	 null

successful	 ""	 ""	 ""

already	 ""	 ""	 ""

butchered	 null	 null	 null

marlin	 "marlins"	 ""	 ""

out	 "outs"	 "outing"	 "outed"

carried	 ""	 ""	 ""

laid	 null	 null	 null

full	 ""	 ""	 ""

across	 ""	 ""	 ""

two	 "twos"	 ""	 ""

planks	 ""	 ""	 ""

men	 null	 null	 null

staggering	 ""	 ""	 ""

end	 "ends"	 "ending"	 "ended"

plank	 "planks"	 ""	 ""

house	 "houses"	 "housing"	 "housed"

waited	 ""	 ""	 ""

ice	 "ices"	 "icing"	 "iced"

truck	 "trucks"	 "trucking"	 "trucked"

market	 "markets"	 "marketing"	 "marketed"

havana	 ""	 ""	 ""

those	 ""	 ""	 ""

sharks	 ""	 ""	 ""

taken	 ""	 ""	 ""

shark	 "sharks"	 "sharking"	 "sharked"

factory	 "factories"	 ""	 ""

side	 "sides"	 "siding"	 "sided"

cove	 "coves"	 "coving"	 "coved"

hoisted	 ""	 ""	 ""

block	 "blocks"	 "blocking"	 "blocked"

tackle	 "tackles"	 "tackling"	 "tackled"

livers	 ""	 ""	 ""

removed	 ""	 ""	 ""

fins	 ""	 ""	 ""

cut	 ""	 "cutting"	 "cut"

off	 ""	 "offing"	 "offed"

hides	 ""	 ""	 ""

skinned	 ""	 ""	 ""

flesh	 ""	 "fleshing"	 "fleshed"

strips	 ""	 ""	 ""

salting	 ""	 ""	 ""

when	 ""	 ""	 ""

wind	 "winded"	 ""	 ""

east	 ""	 ""	 ""

smell	 "smells"	 "smelling"	 "smelt"

came	 ""	 ""	 ""

harbor	 "harbors"	 "harboring"	 "harbored"

today	 ""	 ""	 ""

there	 ""	 ""	 ""

only	 ""	 ""	 ""

faint	 "faints"	 "fainting"	 "fainted"

edge	 "edges"	 "edging"	 "edged"

odor	 "odors"	 ""	 ""

backed	 ""	 ""	 ""

north	 ""	 ""	 ""

dropped	 ""	 ""	 ""

pleasant	 ""	 ""	 ""

sunny	 ""	 ""	 ""

holding	 "holdings"	 ""	 ""

glass	 "glasses"	 "glassing"	 "glassed"

thinking	 "thinkings"	 ""	 ""

years	 ""	 ""	 ""

ago	 ""	 ""	 ""

get	 " gotten"	 ""	 ""

sardines	 ""	 ""	 ""

tomorrow	 "tomorrows"	 ""	 ""

play	 ""	 "playing"	 "played"

baseball	 "baseballs"	 ""	 ""

still	 "stills"	 "stilling"	 "stilled"

row	 "rows"	 "rowing"	 "rowed"

Rogelio	 ""	 ""	 ""

will	 "wills"	 "willing"	 "willed"

throw	 ""	 "throwing"	 "threw"

net	 "nets"	 "netting"	 "netted"

would	 ""	 ""	 ""

cannot	 ""	 ""	 ""

serve	 ""	 "serving"	 "served"

way	 "ways"	 ""	 ""

bought	 ""	 ""	 ""

took	 ""	 ""	 ""

five	 "fives"	 ""	 ""

nearly	 ""	 ""	 ""

killed	 ""	 ""	 ""

brought	 ""	 ""	 ""

too	 ""	 ""	 ""

green	 "greens"	 null	 null

tore	 null	 null	 null

pieces	 ""	 ""	 ""

tail	 "tails"	 "tailing"	 "tailed"

slapping	 ""	 ""	 ""

banging	 null	 null	 null

thwart	 ""	 "thwarting"	 "thwarted"

breaking	 ""	 ""	 ""

noise	 "noises"	 "noising"	 "noised"

clubbing	 ""	 ""	 ""

throwing	 ""	 ""	 ""

bow	 "bows"	 "bowing"	 "bowed"

wet	 "wetter"	 "wetting"	 "wetted"

feeling	 "feelings"	 ""	 ""

whole	 "wholes"	 ""	 ""

shiver	 "shivers"	 "shivering"	 "shivered"

chopping	 ""	 ""	 ""

tree	 "trees"	 "treeing"	 "treed"

sweet	 "sweets"	 ""	 ""

blood	 ""	 "blooding"	 "blooded"

all	 null	 null	 null

over	 "overs"	 ""	 ""

really	 ""	 ""	 ""

just	 ""	 ""	 ""

tell	 "tells"	 "telling"	 "told"

together	 ""	 ""	 ""

sunburned	 ""	 ""	 ""

confident	 "confidents"	 ""	 ""

loving	 ""	 ""	 ""

my	 ""	 ""	 ""

I'd	 ""	 ""	 ""

gamble	 "gambles"	 "gambling"	 "gambled"

four	 "fours"	 ""	 ""

baits	 ""	 ""	 ""

mine	 "mines"	 "mining"	 "mined"

left	 "lefts"	 ""	 ""

put	 null	 "putting"	 "put"

salt	 ""	 "salting"	 "salted"

box	 "boxes"	 "boxing"	 "boxed"

let	 ""	 "letting"	 "let"

one	 "ones"	 ""	 ""

hope	 "hopes"	 "hoping"	 "hoped"

confidence	 "confidences"	 ""	 ""

never	 ""	 ""	 ""

freshening	 ""	 ""	 ""

breeze	 "breezes"	 "breezing"	 "breezed"

rises	 ""	 ""	 ""

agreed	 ""	 ""	 ""

didn't	 ""	 ""	 ""

steal	 "steals"	 "stealing"	 "stole"

thank	 "thanks"	 "thanking"	 "thanked"

simple	 ""	 ""	 ""

wonder	 "wonders"	 "wondering"	 "wondered"

attained	 ""	 ""	 ""

humility	 ""	 ""	 ""

knew	 ""	 ""	 ""

disgraceful	 ""	 ""	 ""

loss	 "losses"	 ""	 ""

true	 "trues"	 "truing"	 "trued"

pride	 "prides"	 "priding"	 "prided"

going	 "goings"	 ""	 ""

asked	 ""	 ""	 ""

far	 ""	 " furthest"	 "farther"

shifts	 ""	 ""	 ""

want	 "wants"	 "wanting"	 "wanted"

before	 ""	 ""	 ""

light	 "lighted"	 "lightest"	 "lighter"

I'll	 ""	 ""	 ""

try	 ""	 "trying"	 "tried"

work	 "works"	 "working"	 "worked"

hook	 "hooks"	 "hooking"	 "hooked"

something	 ""	 ""	 ""

truly	 ""	 ""	 ""

aid	 "aids"	 "aiding"	 "aided"

does	 ""	 ""	 ""

bird	 "birds"	 "birding"	 "birded"

working	 "workings"	 "working"	 "worked"

dolphin	 "dolphins"	 ""	 ""

bad	 ""	 ""	 ""

almost	 ""	 ""	 ""

blind	 "blinds"	 "blinding"	 "blinded"

strange	 ""	 ""	 ""

kills	 ""	 ""	 ""

mosquito	 "mosquitos"	 ""	 ""

coast	 "coasts"	 "coasting"	 "coasted"

strong	 ""	 ""	 ""

enough	 ""	 ""	 ""

think	 ""	 "thinking"	 "thought"

so	 ""	 ""	 ""

tricks	 ""	 ""	 ""

us	 ""	 ""	 ""

cast	 ""	 "casting"	 "cast"

picked	 ""	 ""	 ""

gear	 "gears"	 "gearing"	 "geared"

shoulder	 "shoulders"	 "shouldering"	 "shouldered"

wooden	 ""	 ""	 ""

shaft	 "shafts"	 "shafting"	 "shafted"

stern	 "sterns"	 ""	 ""

along	 ""	 ""	 ""

club	 "clubs"	 "clubbing"	 "clubbed"

subdue	 ""	 "subduing"	 "subdued"

alongside	 ""	 ""	 ""

better	 "betters"	 "bettering"	 "bettered"

dew	 "dews"	 "dewing"	 "dewed"

though	 ""	 ""	 ""

sure	 ""	 ""	 ""

local	 "locals"	 ""	 ""

people	 "peoples"	 "peopling"	 "peopled"

thought	 "thoughts"	 ""	 ""

needless	 ""	 ""	 ""

temptations	 ""	 ""	 ""

walked	 ""	 ""	 ""

road	 "roads"	 ""	 ""

shack	 "shacks"	 "shacking"	 "shacked"

through	 ""	 ""	 ""

open	 ""	 "opening"	 "opened"

door	 "doors"	 ""	 ""

leaned	 ""	 ""	 ""

wrapped	 ""	 ""	 ""

against	 ""	 ""	 ""

wall	 "walls"	 "walling"	 "walled"

beside	 ""	 ""	 ""

long	 ""	 "longing"	 "longed"

room	 "rooms"	 "rooming"	 "roomed"

tough	 "toughs"	 "toughing"	 "toughed"

royal	 "royals"	 ""	 ""

palm	 "palms"	 "palming"	 "palmed"

called	 ""	 ""	 ""

guano	 ""	 ""	 ""

bed	 "beds"	 "bedding"	 "bedded"

table	 "tables"	 "tabling"	 "tabled"

chair	 "chairs"	 "chairing"	 "chaired"

place	 "places"	 "placing"	 "placed"

dirt	 "dirts"	 ""	 ""

floor	 "floors"	 "flooring"	 "floored"

cook	 ""	 "cooking"	 "cooked"

charcoal	 "charcoals"	 "charcoaling"	 "charcoaled"

walls	 ""	 ""	 ""

flattened	 ""	 ""	 ""

overlapping	 ""	 ""	 ""

leaves	 ""	 ""	 ""

sturdy	 ""	 ""	 ""

fibered	 ""	 ""	 ""

picture	 "pictures"	 "picturing"	 "pictured"

sacred	 ""	 ""	 ""

heart	 "hearts"	 "hearting"	 "hearted"

Jesus	 null	 null	 null

virgin	 "virgins"	 ""	 ""

relics	 ""	 ""	 ""

wife	 "wives"	 ""	 ""

once	 ""	 ""	 ""

tinted	 ""	 ""	 ""

photograph	 "photographs"	 "photographing"	 "photographed"

lonely	 ""	 ""	 ""

shelf	 "shelves"	 ""	 ""

corner	 "corners"	 "cornering"	 "cornered"

clean	 "cleans"	 "cleaning"	 "cleaned"

shirt	 "shirts"	 ""	 ""

tall	 ""	 ""	 ""

graceful	 ""	 ""	 ""

southern	 ""	 ""	 ""

Florida	 null	 null	 null

CuBA	 ""	 ""	 ""

do	 "dos"	 "doing"	 "did"

eat	 ""	 "eating"	 "ate"

pot	 "pots"	 "potting"	 "potted"

yellow	 "yellows"	 "yellowing"	 "yellowed"

rice	 "rices"	 "ricing"	 "riced"

make	 ""	 "making"	 "made"

fire	 "fires"	 "firing"	 "fired"

later	 ""	 ""	 ""

cold	 "colds"	 ""	 ""

course	 "courses"	 "coursing"	 "coursed"

remembered	 ""	 ""	 ""

sold	 null	 null	 null

fiction	 "fictions"	 ""	 ""

number	 "numbers"	 "numbering"	 "numbered"

bring	 ""	 "bringing"	 "brought"

dressed	 ""	 ""	 ""

thousand	 "thousands"	 ""	 ""

pounds	 ""	 ""	 ""

sit	 ""	 "sitting"	 "sat"

doorway	 "doorways"	 ""	 ""

paper	 "papers"	 "papering"	 "papered"

read	 ""	 "reading"	 "read"

whether	 ""	 ""	 ""

PERICO	 ""	 ""	 ""

gave	 null	 null	 null

bodega	 "bodegas"	 ""	 ""

explained	 ""	 ""	 ""

grocery	 "groceries"	 ""	 ""

store	 "stores"	 "storing"	 "stored"

keep	 "keeps"	 "keeping"	 "kept"

yours	 ""	 ""	 ""

share	 "shares"	 "sharing"	 "shared"

morning	 "mornings"	 ""	 ""

supports	 ""	 ""	 ""

yankees	 ""	 ""	 ""

American	 "Americans"	 ""	 ""

league	 "leagues"	 "leaguing"	 "leagued"

lose	 ""	 "losing"	 "lost"

fear	 ""	 "fearing"	 "feared"

Indians	 ""	 ""	 ""

Cleveland	 null	 null	 null

son	 "sons"	 ""	 ""

great	 "greats"	 ""	 ""

Dimaggio	 ""	 ""	 ""

JOE	 ""	 ""	 ""

fishermans	 ""	 ""	 ""

outfielder	 "outfielders"	 ""	 ""

tigers	 ""	 ""	 ""

Detroit	 ""	 ""	 ""

careful	 ""	 ""	 ""

even	 ""	 "evening"	 "evened"

reds	 ""	 ""	 ""

Cincinnati	 null	 null	 null

white	 "whites"	 "whiting"	 "whited"

sox	 ""	 ""	 ""

Chicago	 null	 null	 null

study	 "studies"	 "studying"	 "studied"

buy	 ""	 "buying"	 "bought"

terminal	 "terminals"	 ""	 ""

lottery	 "lotteries"	 ""	 ""

tickets	 ""	 ""	 ""

various	 ""	 ""	 ""

kinds	 ""	 ""	 ""

openly	 ""	 ""	 ""

Caribbean	 "Caribbeans"	 ""	 ""

perhaps	 "perhapses"	 ""	 ""

refers	 ""	 ""	 ""

last	 ""	 "lasting"	 "lasted"

digits	 ""	 ""	 ""

longer	 ""	 ""	 ""

record	 "records"	 "recording"	 "recorded"

happen	 ""	 "happening"	 "happened"

twice	 ""	 ""	 ""

find	 ""	 "finding"	 "found"

order	 "orders"	 "ordering"	 "ordered"

sheet	 "sheets"	 ""	 ""

that's	 ""	 ""	 ""

dollars	 ""	 ""	 ""

half	 "halves"	 ""	 ""

borrow	 ""	 "borrowing"	 "borrowed"

easy	 ""	 ""	 ""

beg	 ""	 "begging"	 "begged"

warm	 ""	 "warming"	 "warmed"

September	 "Septembers"	 ""	 ""

month	 "months"	 ""	 ""

anyone	 ""	 ""	 ""

fisherman	 "fishermen"	 ""	 ""

asleep	 ""	 ""	 ""

army	 "armies"	 ""	 ""

blanket	 "blankets"	 "blanketing"	 "blanketed"

spread	 "spreads"	 "spreading"	 "spread"

shoulders	 ""	 ""	 ""

powerful	 ""	 ""	 ""

although	 ""	 ""	 ""

very	 ""	 ""	 ""

creases	 ""	 ""	 ""

head	 "heads"	 "heading"	 "headed"

fallen	 ""	 ""	 ""

forward	 "forwards"	 "forwarding"	 "forwarded"

times	 ""	 ""	 ""

patches	 ""	 ""	 ""

faded	 ""	 ""	 ""

different	 ""	 ""	 ""

shades	 ""	 ""	 ""

by	 ""	 ""	 ""

closed	 ""	 ""	 ""

life	 "lives"	 ""	 ""

newspaper	 "newspapers"	 ""	 ""

lay	 ""	 "laying"	 "laid"

knees	 ""	 ""	 ""

weight	 "weights"	 "weighting"	 "weighted"

arm	 "arms"	 "arming"	 "armed"

held	 ""	 ""	 ""

evening	 "evenings"	 ""	 ""

barefooted	 ""	 ""	 ""

wake	 ""	 "waking"	 "woke"

hand	 "hands"	 "handing"	 "handed"

opened	 ""	 ""	 ""

moment	 "moments"	 ""	 ""

coming	 "comings"	 ""	 ""

away	 ""	 ""	 ""

smiled	 ""	 ""	 ""

got	 ""	 ""	 ""

supper	 "suppers"	 ""	 ""

we're	 ""	 ""	 ""

I'm	 ""	 ""	 ""

hungry	 ""	 ""	 ""

can't	 ""	 ""	 ""

getting	 ""	 ""	 ""

folding	 ""	 ""	 ""

started	 ""	 ""	 ""

fold	 ""	 "folding"	 "folded"

you'll	 ""	 ""	 ""

eating	 ""	 ""	 ""

while	 "whiles"	 "whiling"	 "whiled"

alive	 ""	 ""	 ""

live	 ""	 "living"	 "lived"

care	 ""	 "caring"	 "cared"

yourself	 "yourselves"	 ""	 ""

black	 "blacks"	 "blacking"	 "blacked"

beans	 ""	 ""	 ""

fried	 ""	 ""	 ""

bananas	 ""	 ""	 ""

stew	 "stews"	 "stewing"	 "stewed"

staple	 "staples"	 "stapling"	 "stapled"

foods	 ""	 ""	 ""

islands	 ""	 ""	 ""

metal	 "metals"	 "metalling"	 "metalled"

container	 "containers"	 ""	 ""

sets	 ""	 ""	 ""

knives	 ""	 ""	 ""

forks	 ""	 ""	 ""

spoons	 ""	 ""	 ""

pocket	 "pockets"	 "pocketing"	 "pocketed"

napkin	 "napkins"	 ""	 ""

set	 "sets"	 "setting"	 "set"

martin	 "martins"	 ""	 ""

owner	 "owners"	 ""	 ""

thanked	 ""	 ""	 ""

don't	 ""	 ""	 ""

need	 "needs"	 "needing"	 "needed"

give	 ""	 "giving"	 "gave"

belly	 "bellies"	 "bellying"	 "bellied"

meat	 "meats"	 ""	 ""

has	 ""	 ""	 ""

done	 ""	 ""	 ""

more	 ""	 ""	 ""

than	 ""	 ""	 ""

thoughtful	 ""	 ""	 ""

sent	 null	 null	 null

beers	 ""	 ""	 ""

cans	 ""	 ""	 ""

best	 ""	 "besting"	 "bested"

bottles	 ""	 ""	 ""

Hatuey	 ""	 ""	 ""

kind	 "kinds"	 ""	 ""

I've	 ""	 ""	 ""

asking	 ""	 ""	 ""

gently	 ""	 ""	 ""

wished	 ""	 ""	 ""

until	 ""	 ""	 ""

ready	 "readies"	 "readying"	 "readied"

needed	 ""	 ""	 ""

wash	 ""	 "washing"	 "washed"

village	 "villages"	 ""	 ""

water	 "waters"	 "watering"	 "watered"

supply	 "supplies"	 "supplying"	 "supplied"

streets	 ""	 ""	 ""

here	 ""	 ""	 ""

soap	 "soaps"	 "soaping"	 "soaped"

towel	 "towels"	 "towelling"	 "towelled"

thoughtless	 ""	 ""	 ""

jacket	 "jackets"	 "jacketing"	 "jacketed"

winter	 "winters"	 "wintering"	 "wintered"

sort	 "sorts"	 "sorting"	 "sorted"

shoes	 ""	 ""	 ""

tap	 "taps"	 "tapping"	 "tapped"

excellent	 ""	 ""	 ""

happily	 ""	 ""	 ""

lost	 ""	 ""	 ""

means	 ""	 ""	 ""

nothing	 "nothings"	 ""	 ""

himself	 ""	 ""	 ""

team	 "teams"	 "teaming"	 "teamed"

naturally	 ""	 ""	 ""

makes	 ""	 ""	 ""

difference	 "differences"	 "differencing"	 "differenced"

brooklyn	 ""	 ""	 ""

Philadelphia	 null	 null	 null

dick	 "dicks"	 ""	 ""

Sisler	 ""	 ""	 ""

drives	 ""	 ""	 ""

park	 "parks"	 "parking"	 "parked"

national	 "nationals"	 ""	 ""

dodgers	 ""	 ""	 ""

player	 "players"	 ""	 ""

teams	 ""	 ""	 ""

father	 "fathers"	 "fathering"	 "fathered"

George	 null	 null	 null

well-known	 ""	 ""	 ""

St.Louis	 ""	 ""	 ""

Boston	 null	 null	 null

ever	 ""	 ""	 ""

hits	 ""	 ""	 ""

ball	 "balls"	 "balling"	 "balled"

wanted	 ""	 ""	 ""

fishing	 ""	 ""	 ""

timid	 ""	 ""	 ""

